ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2020/07/24 16:49:01"
"Settings=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\Genepix settings\2020-07-24-10288622-D0-1.gps"
"GalFile="
"PixelSize=10"
"Wavelengths=532	635"
"ImageFiles=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 1	D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=530, 2800"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4400 [140135]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=580	600"
"ScanPower=100	100"
"LaserPower=1.85	1.42"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	5	3	""	""	2040	3740	170	1010	1092	564	51	62	62	66	26	39	100	99	0	883	1030	580	56	123	123	145	92	63	99	95	0	227170	214208	39.462	9.620	1.247	1.136	1.213	1.135	1.742	1.096	0.726	0.319	948	760	1030	907	1708	1937	208	1132	100	35
0	0	0	1	6	3	""	""	2310	3740	170	1135	1296	659	50	62	62	66	25	37	100	100	0	1017	1191	755	63	109	109	133	88	66	100	100	0	269478	247746	49.200	12.023	1.182	1.140	1.205	1.096	1.748	1.066	0.683	0.241	1073	908	1234	1082	1981	2316	208	1164	100	36
0	0	0	1	7	3	""	""	2590	3740	190	440	656	2084	317	65	65	68	25	36	98	96	0	326	1555	7013	450	91	91	106	65	61	98	88	0	167861	398194	23.520	22.292	1.596	0.404	1.358	1.097	2.500	0.203	0.410	0.674	375	235	591	1464	610	2055	256	1269	100	37
0	0	0	1	8	3	""	""	2840	3740	190	397	444	685	154	67	67	70	26	37	94	92	0	350	1305	5929	454	103	103	112	56	50	89	83	0	113543	334090	14.385	21.304	1.336	0.314	1.195	0.965	2.629	0.087	0.471	0.418	330	247	377	1202	577	1579	256	1206	100	38
0	0	0	1	9	3	""	""	3110	3740	190	452	567	1248	220	68	68	72	26	36	95	91	0	416	1046	3660	349	106	106	118	57	48	87	84	0	145157	267696	19.038	16.281	1.239	0.531	1.098	1.007	2.547	0.329	0.842	0.309	384	310	499	940	694	1439	256	1254	100	39
0	0	0	1	10	3	""	""	3390	3740	180	610	2083	3537	169	69	69	80	216	270	84	66	0	443	1417	2303	162	101	101	132	605	458	27	20	0	533330	362874	9.273	2.124	1.582	1.530	1.555	1.428	2.068	1.554	0.947	0.662	541	342	2014	1316	883	3330	256	1218	100	40
0	0	0	1	11	3	""	""	3660	3740	180	574	2325	5457	234	73	73	326	3164	970	16	7	0	432	5902	15577	263	93	93	678	5271	777	13	11	3	595153	1510808	0.632	0.991	1.478	0.388	1.533	1.167	3.278	0.383	0.683	0.564	501	339	2252	5809	840	8061	256	1188	100	41
0	0	0	1	12	3	""	""	3930	3740	180	594	1153	2008	174	69	69	95	484	509	62	14	0	398	1097	2337	213	81	81	245	2669	1089	9	6	0	295234	280833	2.186	0.319	1.656	1.067	1.541	1.511	1.944	0.842	0.864	0.728	525	317	1084	1016	842	2100	256	1214	100	42
0	0	0	1	13	3	""	""	4200	3740	190	31728	28520	14341	50	62	62	66	28	42	96	95	0	7975	7257	3851	53	81	81	94	57	60	96	95	0	7301035	1857731	1016.214	125.667	4.011	3.966	4.108	3.424	2.241	4.039	0.924	2.004	31666	7894	28458	7176	39560	35634	256	1298	100	43
0	0	0	1	14	3	""	""	4470	3730	190	22462	20729	8604	41	60	60	64	24	37	100	97	0	7057	7049	3524	49	90	90	109	74	67	98	98	0	5306501	1804440	861.042	93.784	3.215	2.970	3.035	2.590	2.002	3.022	0.873	1.685	22402	6967	20669	6959	29369	27628	256	1262	100	44
0	0	0	1	15	3	""	""	4740	3740	190	29128	25981	11643	44	56	56	63	133	211	100	100	0	8461	8001	3808	47	95	95	145	350	241	94	92	0	6651246	2048216	194.872	22.446	3.475	3.279	3.469	3.273	1.866	3.360	0.911	1.797	29072	8366	25925	7906	37438	33831	256	1515	100	45
